Dendrometer,Treatment,Date,Hour,Air temperature (°C),Perimeter (mm)
P12A10,Irrigated,02-06-2014,12,9.80859375,-0.003873823
P12A10,Irrigated,02-06-2014,13,10.32421875,-0.003873823
P12A10,Irrigated,02-06-2014,14,12.59375,-0.003873823
P12A10,Irrigated,02-06-2014,15,15.02734375,-0.003873823
P12A10,Irrigated,02-06-2014,16,15.796875,-0.002905844
P12A10,Irrigated,02-06-2014,17,14.78515625,-0.001936911
P12A10,Irrigated,02-06-2014,18,13.77734375,-0.000968932
P12A10,Irrigated,02-06-2014,19,11.359375,-0.001936911
P12A10,Irrigated,02-06-2014,20,11.1328125,-0.000968932
P12A10,Irrigated,02-06-2014,21,11.32421875,-0.000968932
P12A10,Irrigated,02-06-2014,22,10.984375,-0.001936911
P12A10,Irrigated,02-06-2014,23,10.96875,-0.000968932
P12A10,Irrigated,03-06-2014,0,11.9921875,-0.001936911
P12A10,Irrigated,03-06-2014,1,12.5390625,-0.002905844
P12A10,Irrigated,03-06-2014,2,12.609375,-0.001936911
P12A10,Irrigated,03-06-2014,3,12.2421875,-0.001936911
P12A10,Irrigated,03-06-2014,4,12.68359375,-0.001936911
P12A10,Irrigated,03-06-2014,5,12.37890625,-0.002905844
P12A10,Irrigated,03-06-2014,6,12.140625,-0.004841803
P12A10,Irrigated,03-06-2014,7,12.1171875,-0.004841803
P12A10,Irrigated,03-06-2014,8,12.78515625,-0.002905844
P12A10,Irrigated,03-06-2014,9,11.84765625,-0.004841803
P12A10,Irrigated,03-06-2014,10,11.28125,-0.008715628
P12A10,Irrigated,03-06-2014,11,10.640625,-0.006778715
P12A10,Irrigated,03-06-2014,12,10.59375,-0.005810736
P12A10,Irrigated,03-06-2014,13,10.57421875,-0.002905844
P12A10,Irrigated,03-06-2014,14,11.0546875,0.019366266
P12A10,Irrigated,03-06-2014,15,11.109375,0.023240091
P12A10,Irrigated,03-06-2014,16,11.2578125,0.045511247
P12A10,Irrigated,03-06-2014,17,11.04296875,0.080371858
P12A10,Irrigated,03-06-2014,18,10.76953125,0.113294603
P12A10,Irrigated,03-06-2014,19,10.0625,0.115231516
P12A10,Irrigated,03-06-2014,20,9.921875,0.114263537
P12A10,Irrigated,03-06-2014,21,9.4765625,0.114263537
P12A10,Irrigated,03-06-2014,22,9.54296875,0.115231516
P12A10,Irrigated,03-06-2014,23,9.10546875,0.115231516
P12A10,Irrigated,04-06-2014,0,9.58984375,0.115231516
P12A10,Irrigated,04-06-2014,1,8.83984375,0.116200449
P12A10,Irrigated,04-06-2014,2,9.26953125,0.116200449
P12A10,Irrigated,04-06-2014,3,8.75,0.115231516
P12A10,Irrigated,04-06-2014,4,8.71484375,0.115231516
P12A10,Irrigated,04-06-2014,5,7.9453125,0.117168429
P12A10,Irrigated,04-06-2014,6,8.4453125,0.117168429
P12A10,Irrigated,04-06-2014,7,8.109375,0.117168429
P12A10,Irrigated,04-06-2014,8,7.57421875,0.117168429
P12A10,Irrigated,04-06-2014,9,8.12109375,0.11620045
P12A10,Irrigated,04-06-2014,10,10.6015625,0.118136409
P12A10,Irrigated,04-06-2014,11,13.0234375,0.115231517
P12A10,Irrigated,04-06-2014,12,13.87890625,0.115231517
P12A10,Irrigated,04-06-2014,13,13.92578125,0.115231517
P12A10,Irrigated,04-06-2014,14,14.05859375,0.115231517
P12A10,Irrigated,04-06-2014,15,17.9609375,0.115231517
P12A10,Irrigated,04-06-2014,16,19,0.111358646
P12A10,Irrigated,04-06-2014,17,17.953125,0.084244732
P12A10,Irrigated,04-06-2014,18,13.375,0.087149624
P12A10,Irrigated,04-06-2014,19,11.33203125,0.085213665
P12A10,Irrigated,04-06-2014,20,11.02734375,0.087149624
P12A10,Irrigated,04-06-2014,21,10.3515625,0.091991429
P12A10,Irrigated,04-06-2014,22,10.25,0.091991429
P12A10,Irrigated,04-06-2014,23,8.32421875,0.093928342
P12A10,Irrigated,05-06-2014,0,8.1953125,0.092960363
P12A10,Irrigated,05-06-2014,1,8.44921875,0.092960363
P12A10,Irrigated,05-06-2014,2,7.9453125,0.093928342
P12A10,Irrigated,05-06-2014,3,7.41015625,0.094896321
P12A10,Irrigated,05-06-2014,4,6.9609375,0.094896321
P12A10,Irrigated,05-06-2014,5,6.31640625,0.095865254
P12A10,Irrigated,05-06-2014,6,5.91015625,0.094896321
P12A10,Irrigated,05-06-2014,7,5.359375,0.095865254
P12A10,Irrigated,05-06-2014,8,3.8125,0.094896321
P12A10,Irrigated,05-06-2014,9,3.4453125,0.094896321
P12A10,Irrigated,05-06-2014,10,8.34765625,0.094896321
P12A10,Irrigated,05-06-2014,11,9.328125,0.095865254
P12A10,Irrigated,05-06-2014,12,10.91796875,0.098770146
P12A10,Irrigated,05-06-2014,13,22.90234375,0.120073323
P12A10,Irrigated,05-06-2014,14,16.56640625,0.120073323
P12A10,Irrigated,05-06-2014,15,19.2734375,0.112326627
P12A10,Irrigated,05-06-2014,16,21.6796875,0.110389714
P12A10,Irrigated,05-06-2014,17,19.55859375,0.102643018
P12A10,Irrigated,05-06-2014,18,14.08203125,0.095865255
P12A10,Irrigated,05-06-2014,19,8.6640625,0.088118559
P12A10,Irrigated,05-06-2014,20,7.41015625,0.088118559
P12A10,Irrigated,05-06-2014,21,6.640625,0.089086538
P12A10,Irrigated,05-06-2014,22,5.734375,0.087149625
P12A10,Irrigated,05-06-2014,23,5.53125,0.088118558
P12A10,Irrigated,06-06-2014,0,4.58984375,0.089086537
P12A10,Irrigated,06-06-2014,1,4.17578125,0.087149624
P12A10,Irrigated,06-06-2014,2,3.85546875,0.084244732
P12A10,Irrigated,06-06-2014,3,3.078125,0.088118557
P12A10,Irrigated,06-06-2014,4,2.5625,0.089086536
P12A10,Irrigated,06-06-2014,5,1.94140625,0.090054515
P12A10,Irrigated,06-06-2014,6,1.3515625,0.089086536
P12A10,Irrigated,06-06-2014,7,0.80078125,0.091023449
P12A10,Irrigated,06-06-2014,8,0.3046875,0.091023449
P12A10,Irrigated,06-06-2014,9,1.109375,0.091023449
P12A10,Irrigated,06-06-2014,10,2.6484375,0.090054516
P12A10,Irrigated,06-06-2014,11,6.015625,0.086181645
P12A10,Irrigated,06-06-2014,12,12.98828125,0.075530057
P12A10,Irrigated,06-06-2014,13,17.875,0.075530057
P12A10,Irrigated,06-06-2014,14,12.59375,0.076498036
P12A10,Irrigated,06-06-2014,15,11.38671875,0.076498036
P12A10,Irrigated,06-06-2014,16,7.40234375,0.088118558
P12A10,Irrigated,06-06-2014,17,6.4453125,0.088118558
P12A10,Irrigated,06-06-2014,18,7.55078125,0.088118558
P12A10,Irrigated,06-06-2014,19,7.85546875,0.090054517
P12A10,Irrigated,06-06-2014,20,8.69921875,0.09199143
P12A10,Irrigated,06-06-2014,21,8.2421875,0.093928343
P12A10,Irrigated,06-06-2014,22,8.484375,0.093928343
P12A10,Irrigated,06-06-2014,23,9.17578125,0.103611952
P12A10,Irrigated,07-06-2014,0,9.23046875,0.104579931
P12A10,Irrigated,07-06-2014,1,8.9375,0.103611952
P12A10,Irrigated,07-06-2014,2,7.42578125,0.105547911
P12A10,Irrigated,07-06-2014,3,7.203125,0.104579932
P12A10,Irrigated,07-06-2014,4,6.74609375,0.104579932
P12A10,Irrigated,07-06-2014,5,7.37890625,0.102643019
P12A10,Irrigated,07-06-2014,6,7.69921875,0.103611952
P12A10,Irrigated,07-06-2014,7,7.30078125,0.102643019
P12A10,Irrigated,07-06-2014,8,7.78125,0.103611952
P12A10,Irrigated,07-06-2014,9,8.46875,0.123947149
P12A10,Irrigated,07-06-2014,10,9.3125,0.121041303
P12A10,Irrigated,07-06-2014,11,10.30078125,0.120073324
P12A10,Irrigated,07-06-2014,12,12.1875,0.113294607
P12A10,Irrigated,07-06-2014,13,22.61328125,0.109421736
P12A10,Irrigated,07-06-2014,14,16.98046875,0.094896322
P12A10,Irrigated,07-06-2014,15,17.98828125,0.071656233
P12A10,Irrigated,07-06-2014,16,18.609375,0.068751341
P12A10,Irrigated,07-06-2014,17,13.75390625,0.07843495
P12A10,Irrigated,07-06-2014,18,11.39453125,0.080371863
P12A10,Irrigated,07-06-2014,19,9.64453125,0.084244734
P12A10,Irrigated,07-06-2014,20,8.55078125,0.086181647
P12A10,Irrigated,07-06-2014,21,8.7265625,0.086181647
P12A10,Irrigated,07-06-2014,22,8.09765625,0.087149626
P12A10,Irrigated,07-06-2014,23,7.65234375,0.086181647
P12A10,Irrigated,08-06-2014,0,7.90625,0.085213668
P12A10,Irrigated,08-06-2014,1,9.0390625,0.082307822
P12A10,Irrigated,08-06-2014,2,10.08203125,0.078434951
P12A10,Irrigated,08-06-2014,3,9.984375,0.078434951
P12A10,Irrigated,08-06-2014,4,10.390625,0.077466972
P12A10,Irrigated,08-06-2014,5,10.69140625,0.076498039
P12A10,Irrigated,08-06-2014,6,10.01953125,0.078434952
P12A10,Irrigated,08-06-2014,7,9.62890625,0.080371865
P12A10,Irrigated,08-06-2014,8,9.54296875,0.091023453
P12A10,Irrigated,08-06-2014,9,9.28125,0.100707062
P12A10,Irrigated,08-06-2014,10,9.515625,0.116200455
P12A10,Irrigated,08-06-2014,11,10.05859375,0.116200455
P12A10,Irrigated,08-06-2014,12,10.375,0.115231522
P12A10,Irrigated,08-06-2014,13,9.41796875,0.117168435
P12A10,Irrigated,08-06-2014,14,10.75390625,0.137503632
P12A10,Irrigated,08-06-2014,15,11.375,0.139440545
P12A10,Irrigated,08-06-2014,16,11.65234375,0.138471612
P12A10,Irrigated,08-06-2014,17,10.9453125,0.143313417
P12A10,Irrigated,08-06-2014,18,10.25,0.144281396
P12A10,Irrigated,08-06-2014,19,10.03515625,0.145250329
P12A10,Irrigated,08-06-2014,20,10.1328125,0.155901917
P12A10,Irrigated,08-06-2014,21,10.21484375,0.156869896
P12A10,Irrigated,08-06-2014,22,10.73046875,0.158806809
P12A10,Irrigated,08-06-2014,23,11.14453125,0.158806809
P12A10,Irrigated,09-06-2014,0,10.359375,0.158806809
P12A10,Irrigated,09-06-2014,1,10.0078125,0.158806809
P12A10,Irrigated,09-06-2014,2,9.1796875,0.159774788
P12A10,Irrigated,09-06-2014,3,8.5390625,0.158806809
P12A10,Irrigated,09-06-2014,4,8.40625,0.158806809
P12A10,Irrigated,09-06-2014,5,7.3359375,0.158806809
P12A10,Irrigated,09-06-2014,6,6.55859375,0.158806809
P12A10,Irrigated,09-06-2014,7,6.609375,0.159774788
P12A10,Irrigated,09-06-2014,8,6.23046875,0.159774788
P12A10,Irrigated,09-06-2014,9,6.29296875,0.159774788
P12A10,Irrigated,09-06-2014,10,9.578125,0.160743721
P12A10,Irrigated,09-06-2014,11,11.546875,0.165585526
P12A10,Irrigated,09-06-2014,12,13.953125,0.17139531
P12A10,Irrigated,09-06-2014,13,18.45703125,0.188825615
P12A10,Irrigated,09-06-2014,14,15.99609375,0.222717293
P12A10,Irrigated,09-06-2014,15,19.28125,0.214970597
P12A10,Irrigated,09-06-2014,16,24.28515625,0.225622185
P12A10,Irrigated,09-06-2014,17,20.8984375,0.194635399
P12A10,Irrigated,09-06-2014,18,14.83984375,0.183983811
P12A10,Irrigated,09-06-2014,19,10.56640625,0.172363289
P12A10,Irrigated,09-06-2014,20,9.74609375,0.173332222
P12A10,Irrigated,09-06-2014,21,9.42578125,0.173332222
P12A10,Irrigated,09-06-2014,22,8.421875,0.169458397
P12A10,Irrigated,09-06-2014,23,8.58203125,0.169458397
P12A10,Irrigated,10-06-2014,0,7.86328125,0.17139531
P12A10,Irrigated,10-06-2014,1,7.390625,0.168490418
P12A10,Irrigated,10-06-2014,2,6.6171875,0.166553505
P12A10,Irrigated,10-06-2014,3,5.88671875,0.166553505
P12A10,Irrigated,10-06-2014,4,5.34765625,0.166553505
P12A10,Irrigated,10-06-2014,5,5.51953125,0.166553505
P12A10,Irrigated,10-06-2014,6,5.66015625,0.166553505
P12A10,Irrigated,10-06-2014,7,6.04296875,0.166553505
P12A10,Irrigated,10-06-2014,8,6.46484375,0.166553505
P12A10,Irrigated,10-06-2014,9,6.89453125,0.166553505
P12A10,Irrigated,10-06-2014,10,8.06640625,0.168490418
P12A10,Irrigated,10-06-2014,11,9.0234375,0.168490418
P12A10,Irrigated,10-06-2014,12,11.25390625,0.169458397
P12A10,Irrigated,10-06-2014,13,15.25390625,0.174300202
P12A10,Irrigated,10-06-2014,14,14.43359375,0.176237115
P12A10,Irrigated,10-06-2014,15,14.4375,0.175268182
P12A10,Irrigated,10-06-2014,16,15.36328125,0.169458398
P12A10,Irrigated,10-06-2014,17,14.15234375,0.160743722
P12A10,Irrigated,10-06-2014,18,12.7109375,0.153965005
P12A10,Irrigated,10-06-2014,19,12.140625,0.151060113
P12A10,Irrigated,10-06-2014,20,12.15625,0.150092134
P12A10,Irrigated,10-06-2014,21,12.16796875,0.148155221
P12A10,Irrigated,10-06-2014,22,11.94921875,0.1491232
P12A10,Irrigated,10-06-2014,23,12.078125,0.1491232
P12A10,Irrigated,11-06-2014,0,12.265625,0.146218308
P12A10,Irrigated,11-06-2014,1,12.3828125,0.145250329
P12A10,Irrigated,11-06-2014,2,12.5390625,0.146218308
P12A10,Irrigated,11-06-2014,3,12.4765625,0.145250329
P12A10,Irrigated,11-06-2014,4,12.84765625,0.145250329
P12A10,Irrigated,11-06-2014,5,13.03515625,0.140408524
P12A10,Irrigated,11-06-2014,6,12.91015625,0.141376503
P12A10,Irrigated,11-06-2014,7,11.5625,0.139440544
P12A10,Irrigated,11-06-2014,8,11.09765625,0.144281395
P12A10,Irrigated,11-06-2014,9,11.05859375,0.154933937
P12A10,Irrigated,11-06-2014,10,11.30859375,0.168490417
P12A10,Irrigated,11-06-2014,11,11.05859375,0.168490417
P12A10,Irrigated,11-06-2014,12,10.62890625,0.169458396
P12A10,Irrigated,11-06-2014,13,10.44140625,0.168490417
P12A10,Irrigated,11-06-2014,14,10.0703125,0.17042733
P12A10,Irrigated,11-06-2014,15,9.84765625,0.174300201
P12A10,Irrigated,11-06-2014,16,9.76953125,0.180109985
P12A10,Irrigated,11-06-2014,17,9.62109375,0.185920723
P12A10,Irrigated,11-06-2014,18,8.90234375,0.195603378
P12A10,Irrigated,11-06-2014,19,7.75390625,0.210128792
P12A10,Irrigated,11-06-2014,20,7.1484375,0.211096771
P12A10,Irrigated,11-06-2014,21,7.0703125,0.212065704
P12A10,Irrigated,11-06-2014,22,7.25390625,0.212065704
P12A10,Irrigated,11-06-2014,23,6.99609375,0.212065704
P12A10,Irrigated,12-06-2014,0,7.1640625,0.211096771
P12A10,Irrigated,12-06-2014,1,7.37890625,0.212065704
P12A10,Irrigated,12-06-2014,2,7.53515625,0.214002617
P12A10,Irrigated,12-06-2014,3,7.71484375,0.213033684
P12A10,Irrigated,12-06-2014,4,7.3671875,0.226590164
P12A10,Irrigated,12-06-2014,5,7.07421875,0.227559097
P12A10,Irrigated,12-06-2014,6,7.1328125,0.227559097
P12A10,Irrigated,12-06-2014,7,6.75390625,0.228527076
P12A10,Irrigated,12-06-2014,8,6.5546875,0.227559097
P12A10,Irrigated,12-06-2014,9,5.91015625,0.227559097
P12A10,Irrigated,12-06-2014,10,7.2890625,0.228527076
P12A10,Irrigated,12-06-2014,11,10.9296875,0.227559097
P12A10,Irrigated,12-06-2014,12,12.44140625,0.224654205
P12A10,Irrigated,12-06-2014,13,17.5859375,0.233368881
P12A10,Irrigated,12-06-2014,14,13.80078125,0.248862274
P12A10,Irrigated,12-06-2014,15,12.44140625,0.247894295
P12A10,Irrigated,12-06-2014,16,15.87109375,0.245957382
P12A10,Irrigated,12-06-2014,17,13.28515625,0.244020469
P12A10,Irrigated,12-06-2014,18,13.57421875,0.240147598
P12A10,Irrigated,12-06-2014,19,8.86328125,0.236273773
P12A10,Irrigated,12-06-2014,20,7.4765625,0.233368881
P12A10,Irrigated,12-06-2014,21,7.296875,0.231431968
P12A10,Irrigated,12-06-2014,22,6.23828125,0.228527076
P12A10,Irrigated,12-06-2014,23,7.453125,0.228527076
P12A10,Irrigated,13-06-2014,0,6.8984375,0.230463989
P12A10,Irrigated,13-06-2014,1,5.94921875,0.22949601
P12A10,Irrigated,13-06-2014,2,5.38671875,0.227559097
P12A10,Irrigated,13-06-2014,3,4.9921875,0.227559097
P12A10,Irrigated,13-06-2014,4,4.25390625,0.227559097
P12A10,Irrigated,13-06-2014,5,3.54296875,0.226590164
P12A10,Irrigated,13-06-2014,6,3.16796875,0.227559097
P12A10,Irrigated,13-06-2014,7,2.890625,0.227559097
P12A10,Irrigated,13-06-2014,8,2.46875,0.227559097
P12A10,Irrigated,13-06-2014,9,2.16015625,0.228527076
P12A10,Irrigated,13-06-2014,10,3.6484375,0.228527076
P12A10,Irrigated,13-06-2014,11,7.30078125,0.223685271
P12A10,Irrigated,13-06-2014,12,9.30078125,0.221749312
P12A10,Irrigated,13-06-2014,13,21.984375,0.273070342
P12A10,Irrigated,13-06-2014,14,15.81640625,0.274039275
P12A10,Irrigated,13-06-2014,15,17.5234375,0.265323645
P12A10,Irrigated,13-06-2014,16,22.10546875,0.265323645
P12A10,Irrigated,13-06-2014,17,14.20703125,0.247894293
P12A10,Irrigated,13-06-2014,18,12.3125,0.244020468
P12A10,Irrigated,13-06-2014,19,9.60546875,0.2324009
P12A10,Irrigated,13-06-2014,20,8.57421875,0.229496008
P12A10,Irrigated,13-06-2014,21,8.73828125,0.227559095
P12A10,Irrigated,13-06-2014,22,8.3125,0.226590162
P12A10,Irrigated,13-06-2014,23,8.0703125,0.228527075
P12A10,Irrigated,14-06-2014,0,7.2734375,0.219812399
P12A10,Irrigated,14-06-2014,1,5.875,0.216907507
P12A10,Irrigated,14-06-2014,2,5.9921875,0.217875486
P12A10,Irrigated,14-06-2014,3,5.36328125,0.218843465
P12A10,Irrigated,14-06-2014,4,5.30859375,0.217875486
P12A10,Irrigated,14-06-2014,5,3.8984375,0.221749311
P12A10,Irrigated,14-06-2014,6,3.2890625,0.22368527
P12A10,Irrigated,14-06-2014,7,3.54296875,0.221749311
P12A10,Irrigated,14-06-2014,8,3.31640625,0.22368527
P12A10,Irrigated,14-06-2014,9,3.02734375,0.225622183
P12A10,Irrigated,14-06-2014,10,4.21484375,0.222717291
P12A10,Irrigated,14-06-2014,11,6.17578125,0.215938574
P12A10,Irrigated,14-06-2014,12,8.1953125,0.214002615
P12A10,Irrigated,14-06-2014,13,12.5546875,0.215938574
P12A10,Irrigated,14-06-2014,14,14.35546875,0.220780379
P12A10,Irrigated,14-06-2014,15,18.03515625,0.231431967
P12A10,Irrigated,14-06-2014,16,24.05078125,0.253704077
P12A10,Irrigated,14-06-2014,17,21.5,0.221749312
P12A10,Irrigated,14-06-2014,18,18.51953125,0.194635398
P12A10,Irrigated,14-06-2014,19,11.9609375,0.177205093
P12A10,Irrigated,14-06-2014,20,10.44140625,0.169458397
P12A10,Irrigated,14-06-2014,21,10.15234375,0.17139531
P12A10,Irrigated,14-06-2014,22,9.4453125,0.167521485
P12A10,Irrigated,14-06-2014,23,8.08203125,0.163648614
P12A10,Irrigated,15-06-2014,0,7.01953125,0.158806809
P12A10,Irrigated,15-06-2014,1,7.125,0.15783883
P12A10,Irrigated,15-06-2014,2,6.33203125,0.155901917
P12A10,Irrigated,15-06-2014,3,6.10546875,0.156869896
P12A10,Irrigated,15-06-2014,4,6.12890625,0.157838829
P12A10,Irrigated,15-06-2014,5,5.80078125,0.157838829
P12A10,Irrigated,15-06-2014,6,6.4921875,0.156869896
P12A10,Irrigated,15-06-2014,7,7.0390625,0.157838829
P12A10,Irrigated,15-06-2014,8,6.90625,0.157838829
P12A10,Irrigated,15-06-2014,9,6.82421875,0.157838829
P12A10,Irrigated,15-06-2014,10,8.46875,0.159774788
P12A10,Irrigated,15-06-2014,11,12.19140625,0.165585526
P12A10,Irrigated,15-06-2014,12,14.1171875,0.172363289
P12A10,Irrigated,15-06-2014,13,27.05859375,0.211096771
P12A10,Irrigated,15-06-2014,14,20.59765625,0.201414116
P12A10,Irrigated,15-06-2014,15,21.4921875,0.185920723
P12A10,Irrigated,15-06-2014,16,25.01953125,0.183014877
P12A10,Irrigated,15-06-2014,17,21.85546875,0.182046898
P12A10,Irrigated,15-06-2014,18,16.703125,0.176237114
P12A10,Irrigated,15-06-2014,19,12.921875,0.163648613
P12A10,Irrigated,15-06-2014,20,11.22265625,0.159774788
P12A10,Irrigated,15-06-2014,21,10.8515625,0.158806809
P12A10,Irrigated,15-06-2014,22,10.65234375,0.159774788
P12A10,Irrigated,15-06-2014,23,10.27734375,0.159774788
P12A10,Irrigated,16-06-2014,0,10.453125,0.160743721
P12A10,Irrigated,16-06-2014,1,10.46484375,0.160743721
P12A10,Irrigated,16-06-2014,2,9.53125,0.164616592
P12A10,Irrigated,16-06-2014,3,10.16015625,0.167521484
P12A10,Irrigated,16-06-2014,4,9.94921875,0.169458397
P12A10,Irrigated,16-06-2014,5,9.78125,0.17139531
P12A10,Irrigated,16-06-2014,6,9.484375,0.174300202
P12A10,Irrigated,16-06-2014,7,9.36328125,0.175268181
P12A10,Irrigated,16-06-2014,8,8.8984375,0.180109986
P12A10,Irrigated,16-06-2014,9,8.9140625,0.181078919
P12A10,Irrigated,16-06-2014,10,15.85546875,0.180109986
P12A10,Irrigated,16-06-2014,11,14.1796875,0.183014878
P12A10,Irrigated,16-06-2014,12,16.27734375,0.174300202
P12A10,Irrigated,16-06-2014,13,25.49609375,0.17139531
P12A10,Irrigated,16-06-2014,14,20.9453125,0.174300202
P12A10,Irrigated,16-06-2014,15,21.1640625,0.161711701
P12A10,Irrigated,16-06-2014,16,25.3125,0.163648614
P12A10,Irrigated,16-06-2014,17,23.0390625,0.145250329
P12A10,Irrigated,16-06-2014,18,18.06640625,0.134598741
P12A10,Irrigated,16-06-2014,19,14.78515625,0.132661828
P12A10,Irrigated,16-06-2014,20,13.3984375,0.129756936
P12A10,Irrigated,16-06-2014,21,10.69921875,0.121041306
P12A10,Irrigated,16-06-2014,22,10.63671875,0.124915131
P12A10,Irrigated,16-06-2014,23,8.53515625,0.120073326
P12A10,Irrigated,17-06-2014,0,7.66796875,0.117168434
P12A10,Irrigated,17-06-2014,1,7.37890625,0.118136413
P12A10,Irrigated,17-06-2014,2,7.8671875,0.119105346
P12A10,Irrigated,17-06-2014,3,8.81640625,0.122010238
P12A10,Irrigated,17-06-2014,4,9.64453125,0.123947151
P12A10,Irrigated,17-06-2014,5,9.49609375,0.12588311
P12A10,Irrigated,17-06-2014,6,9.50390625,0.128788002
P12A10,Irrigated,17-06-2014,7,9.26171875,0.128788002
P12A10,Irrigated,17-06-2014,8,9.84765625,0.131693848
P12A10,Irrigated,17-06-2014,9,9,0.129756935
P12A10,Irrigated,17-06-2014,10,16.953125,0.130724914
P12A10,Irrigated,17-06-2014,11,14.06640625,0.129756935
P12A10,Irrigated,17-06-2014,12,15.71875,0.131693848
P12A10,Irrigated,17-06-2014,13,25.24609375,0.132661827
P12A10,Irrigated,17-06-2014,14,19.82421875,0.131693848
P12A10,Irrigated,17-06-2014,15,21.50390625,0.123947152
P12A10,Irrigated,17-06-2014,16,26.44140625,0.124915131
P12A10,Irrigated,17-06-2014,17,24.08984375,0.122010239
P12A10,Irrigated,17-06-2014,18,19.828125,0.114263543
P12A10,Irrigated,17-06-2014,19,16.55078125,0.107484826
P12A10,Irrigated,17-06-2014,20,14.80078125,0.107484826
P12A10,Irrigated,17-06-2014,21,15.29296875,0.110389718
P12A10,Irrigated,17-06-2014,22,14.859375,0.109421739
P12A10,Irrigated,17-06-2014,23,13.99609375,0.109421739
P12A10,Irrigated,18-06-2014,0,13.69921875,0.109421739
P12A10,Irrigated,18-06-2014,1,13.0703125,0.110389718
P12A10,Irrigated,18-06-2014,2,11.41015625,0.11329461
P12A10,Irrigated,18-06-2014,3,10.9140625,0.116200456
P12A10,Irrigated,18-06-2014,4,10.234375,0.115231523
P12A10,Irrigated,18-06-2014,5,9.8046875,0.116200456
P12A10,Irrigated,18-06-2014,6,9.55859375,0.115231523
P12A10,Irrigated,18-06-2014,7,9.27734375,0.116200456
P12A10,Irrigated,18-06-2014,8,7.2890625,0.106516847
P12A10,Irrigated,18-06-2014,9,7.05078125,0.10845376
P12A10,Irrigated,18-06-2014,10,15.45703125,0.103611955
P12A10,Irrigated,18-06-2014,11,13.66796875,0.110389718
P12A10,Irrigated,18-06-2014,12,14.62109375,0.110389718
P12A10,Irrigated,18-06-2014,13,26.99609375,0.120073327
P12A10,Irrigated,18-06-2014,14,16.96484375,0.109421739
P12A10,Irrigated,18-06-2014,15,17.859375,0.107484826
P12A10,Irrigated,18-06-2014,16,20.734375,0.107484826
P12A10,Irrigated,18-06-2014,17,17.45703125,0.106516847
P12A10,Irrigated,18-06-2014,18,12.49609375,0.109421739
P12A10,Irrigated,18-06-2014,19,11.80859375,0.107484826
P12A10,Irrigated,18-06-2014,20,11.6484375,0.107484826
P12A10,Irrigated,18-06-2014,21,11.53515625,0.109421739
P12A10,Irrigated,18-06-2014,22,11.3046875,0.110389718
P12A10,Irrigated,18-06-2014,23,10.90234375,0.112326631
P12A10,Irrigated,19-06-2014,0,10.57421875,0.11329461
P12A10,Irrigated,19-06-2014,1,10.37890625,0.117168435
P12A10,Irrigated,19-06-2014,2,10.2109375,0.117168435
P12A10,Irrigated,19-06-2014,3,10.17578125,0.117168435
P12A10,Irrigated,19-06-2014,4,10.046875,0.118136414
